gene	process	chr	gene_function	ENSG
NDUFA4	Electron Transport Chain	NA	NADH dehydrogenase activity	NA
NDUFA5	Electron Transport Chain	NA	NADH dehydrogenase (ubiquinone) activity; NADH dehydrogenase activity	NA
NDUFA6	Electron Transport Chain	NA	NADH dehydrogenase (ubiquinone) activity; NADH dehydrogenase activity	NA
NDUFA7	Electron Transport Chain	NA	NADH dehydrogenase (ubiquinone) activity; NADH dehydrogenase activity	NA
NDUFA8	Electron Transport Chain	NA	NADH dehydrogenase (ubiquinone) activity; NADH dehydrogenase activity	NA
NDUFA9	Electron Transport Chain	NA	coenzyme binding; NADH dehydrogenase (ubiquinone) activity; NADH dehydrogenase activity	NA
NDUFAB1	Electron Transport Chain	NA	ACP phosphopantetheine attachment site binding involved in fatty acid biosynthetic process; phosphopantetheine binding	NA
NDUFAF1	Electron Transport Chain	NA	unfolded protein binding	NA
NDUFAF3	Electron Transport Chain	NA		NA
NDUFAF4	Electron Transport Chain	NA		NA
NDUFAF5	Electron Transport Chain	NA	methyltransferase activity	NA
NDUFAF6	Electron Transport Chain	NA	transferase activity	NA
NDUFAF7	Electron Transport Chain	NA		NA
NDUFB1	Electron Transport Chain	NA	NADH dehydrogenase activity	NA
NDUFB10	Electron Transport Chain	NA	NADH dehydrogenase (ubiquinone) activity; NADH dehydrogenase activity	NA
NDUFB11	Electron Transport Chain	NA		NA
NDUFB2	Electron Transport Chain	NA	ligand ubiquinone	NA
NDUFB3	Electron Transport Chain	NA	NADH dehydrogenase activity	NA
NDUFB4	Electron Transport Chain	NA	NADH dehydrogenase (ubiquinone) activity; NADH dehydrogenase activity	NA
NDUFB5	Electron Transport Chain	NA	NADH dehydrogenase (ubiquinone) activity; NADH dehydrogenase activity	NA
NDUFB6	Electron Transport Chain	NA	NADH dehydrogenase activity	NA
NDUFB7	Electron Transport Chain	NA	NADH dehydrogenase (ubiquinone) activity; NADH dehydrogenase activity	NA
NDUFB8	Electron Transport Chain	NA	NADH dehydrogenase (ubiquinone) activity; NADH dehydrogenase activity	NA
NDUFB9	Electron Transport Chain	NA	NADH dehydrogenase (ubiquinone) activity; NADH dehydrogenase activity	NA
NDUFC2	Electron Transport Chain	NA	NADH dehydrogenase (ubiquinone) activity; NADH dehydrogenase activity	NA
NDUFS1	Electron Transport Chain	NA	electron carrier activity; iron-sulfur cluster binding; NADH dehydrogenase (ubiquinone) activity; NADH dehydrogenase activity	NA
NDUFS2	Electron Transport Chain	NA	NAD binding; NADH dehydrogenase (ubiquinone) activity; NADH dehydrogenase activity; quinone binding	NA
NDUFS3	Electron Transport Chain	NA	NADH dehydrogenase (ubiquinone) activity; NADH dehydrogenase activity	NA
NDUFS4	Electron Transport Chain	NA	NADH dehydrogenase (ubiquinone) activity	NA
NDUFS5	Electron Transport Chain	NA	NADH dehydrogenase activity	NA
NDUFS6	Electron Transport Chain	NA	NADH dehydrogenase (ubiquinone) activity	NA
NDUFS7	Electron Transport Chain	NA	4 iron; 4 sulfur cluster binding; NADH dehydrogenase (ubiquinone) activity; NADH dehydrogenase activity; quinone binding	NA
NDUFS8	Electron Transport Chain	NA	4 iron; 4 sulfur cluster binding; NADH dehydrogenase (ubiquinone) activity; NADH dehydrogenase activity	NA
NDUFV1	Electron Transport Chain	NA	4 iron; 4 sulfur cluster binding; FMN binding; NAD binding; NADH dehydrogenase (ubiquinone) activity; NADH dehydrogenase activity	NA
NDUFV2	Electron Transport Chain	NA	NADH dehydrogenase (ubiquinone) activity; NADH dehydrogenase activity	NA
NIPSNAP1	Electron Transport Chain	NA		NA
NUBPL	Electron Transport Chain	NA	ATP binding; nucleotide binding	NA
OXA1L	Electron Transport Chain	NA	protein transporter activity	NA
PET117	Electron Transport Chain	NA		NA
PMPCB	Electron Transport Chain	NA	metal ion binding; metalloendopeptidase activity; ubiquinol-cytochrome-c reductase activity	NA
RTN4IP1	Electron Transport Chain	NA	oxidoreductase activity; zinc ion binding	NA
SCO1	Electron Transport Chain	NA	copper chaperone activity; cytochrome-c oxidase activity	NA
SCO2	Electron Transport Chain	NA	copper chaperone activity; cytochrome-c oxidase activity	NA
SDHA	Electron Transport Chain	NA	flavin adenine dinucleotide binding; succinate dehydrogenase (ubiquinone) activity; succinate-CoA ligase (GDP-forming) activity	NA
SDHAF2	Electron Transport Chain	NA	copper ion binding	NA
SDHAF3	Electron Transport Chain	NA		NA
SDHAF4	Electron Transport Chain	NA		NA
SDHB	Electron Transport Chain	NA	2 iron; 2 sulfur cluster binding; electron carrier activity; succinate dehydrogenase (ubiquinone) activity	NA
SDHC	Electron Transport Chain	NA	electron carrier activity; succinate dehydrogenase (ubiquinone) activity; succinate dehydrogenase activity	NA
SDHD	Electron Transport Chain	NA	succinate dehydrogenase (ubiquinone) activity; succinate dehydrogenase activity	NA
SURF1	Electron Transport Chain	NA	heme transporter activity	NA
TBRG4	Electron Transport Chain	NA	protein kinase activity	NA
TFB1M	Electron Transport Chain	NA		NA
TMEM186	Electron Transport Chain	NA		NA
TMEM70	Electron Transport Chain	NA		NA
TSTD1	Electron Transport Chain	NA	unfolded protein binding	NA
TTC19	Electron Transport Chain	NA		NA
UQCC	Electron Transport Chain	NA		NA
UQCR10	Electron Transport Chain	NA	ubiquinol-cytochrome-c reductase activity	NA
UQCR11	Electron Transport Chain	NA	electron carrier activity; ubiquinol-cytochrome-c reductase activity	NA
UQCRB	Electron Transport Chain	NA	ubiquinol-cytochrome-c reductase activity	NA
UQCRC1	Electron Transport Chain	NA	metal ion binding; metalloendopeptidase activity; ubiquinol-cytochrome-c reductase activity	NA
UQCRC2	Electron Transport Chain	NA	metal ion binding; ubiquinol-cytochrome-c reductase activity	NA
UQCRFS1	Electron Transport Chain	NA	2 iron; 2 sulfur cluster binding; ubiquinol-cytochrome-c reductase activity	NA
UQCRH	Electron Transport Chain	NA	ubiquinol-cytochrome-c reductase activity	NA
UQCRQ	Electron Transport Chain	NA	ubiquinol-cytochrome-c reductase activity; ubiquinone binding	NA
USMG5	Electron Transport Chain	NA	ribonucleoprotein, ribosomal protein; hormone activity	NA
COX7B	Electron Transport Chain	X	COX7B: Cytochrome c oxidase subunit VIIb essential component of complex IV	ENSG00000131174
MT-ND1	Electron Transport Chain (MT)	MT	MT-ND1: Mitochondrially encoded NADH dehydrogenase 1 part of enzyme complex I	ENSG00000198888
MT-ND2	Electron Transport Chain (MT)	MT	MT-ND2: Mitochondrially encoded NADH dehydrogenase 2 part of enzyme complex I	ENSG00000198763
MT-ND3	Electron Transport Chain (MT)	MT	MT-ND3: Mitochondrially encoded NADH dehydrogenase 3 part of enzyme complex I	ENSG00000198840
MT-ND4	Electron Transport Chain (MT)	MT	MT-ND4: Mitochondrially encoded NADH dehydrogenase 4 part of enzyme complex I	ENSG00000198886
MT-ND4L	Electron Transport Chain (MT)	MT	MT-ND4L: Mitochondrially encoded NADH dehydrogenase 4L part of enzyme complex I	ENSG00000212907
MT-ND5	Electron Transport Chain (MT)	MT	MT-ND5: Mitochondrially encoded NADH dehydrogenase 5 part of enzyme complex I	ENSG00000198786
MT-ND6	Electron Transport Chain (MT)	MT	MT-ND6: Mitochondrially encoded NADH dehydrogenase 6 part of enzyme complex I	ENSG00000198695
MT-CYB	Electron Transport Chain (MT)	MT	MT-CYB: Essential component of complex III transfers electrons from iron sulphur protein to cytochrome c	ENSG00000198727
MT-CO1	Electron Transport Chain (MT)	MT	MT-CO1: Mitochondrially encoded cytochrome c oxidase I essential component of complex IV	ENSG00000198804
MT-CO2	Electron Transport Chain (MT)	MT	MT-CO2: Mitochondrially encoded cytochrome c oxidase II essential component of complex IV	ENSG00000198712
MT-CO3	Electron Transport Chain (MT)	MT	MT-CO3: Mitochondrially encoded cytochrome c oxidase III essential component of complex IV	ENSG00000198938
MT-ATP6	Electron Transport Chain (MT)	MT	MT-ATP6: Mitochondrially encoded ATP synthase 6 essential component of complex V	ENSG00000198899
MT-ATP8	Electron Transport Chain (MT)	MT	MT-ATP8: Mitochondrially encoded ATP synthase 6 essential component of complex V	ENSG00000228253
ACOT13	Fatty Acid Biosynthesis and Elongation	NA	acyl-CoA hydrolase activity	NA
ACSF2	Fatty Acid Biosynthesis and Elongation	NA	4-coumarate-CoA ligase activity	NA
ACSL1	Fatty Acid Biosynthesis and Elongation	NA	long-chain fatty acid-CoA ligase activity	NA
ACSL5	Fatty Acid Biosynthesis and Elongation	NA	long-chain fatty acid-CoA ligase activity	NA
ACSL6	Fatty Acid Biosynthesis and Elongation	NA	long-chain fatty acid-CoA ligase activity	NA
ACSM2A	Fatty Acid Biosynthesis and Elongation	NA	4-coumarate-CoA ligase activity	NA
CBR4	Fatty Acid Biosynthesis and Elongation	NA	2; 4-dienoyl-CoA reductase (NADPH) activity; oxidoreductase activity; acting on CH-OH group of donors	NA
ECHDC3	Fatty Acid Biosynthesis and Elongation	NA	enoyl-CoA hydratase activity	NA
FASN	Fatty Acid Biosynthesis and Elongation	NA	[acyl-carrier-protein] S-acetyltransferase activity; [acyl-carrier-protein] S-malonyltransferase activity; 3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase activity; 3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity; 3-oxoacyl-[acyl-carrier-protein] synthase activity; enoyl-[acyl-carrier-protein] reductase (NADPH; B-specific) activity; fatty acid synthase activity; myristoyl-[acyl-carrier-protein] hydrolase activity; oleoyl-[acyl-carrier-protein] hydrolase activity; palmitoyl-[acyl-carrier-protein] hydrolase activity; zinc ion binding	NA
HSD17B8	Fatty Acid Biosynthesis and Elongation	NA	2; 4-dienoyl-CoA reductase (NADPH) activity; oxidoreductase activity; acting on CH-OH group of donors	NA
MCAT	Fatty Acid Biosynthesis and Elongation	NA	[acyl-carrier-protein] S-malonyltransferase activity	NA
OXSM	Fatty Acid Biosynthesis and Elongation	NA	3-oxoacyl-[acyl-carrier-protein] synthase activity	NA
SLC25A19	Fatty Acid Biosynthesis and Elongation	NA	thiamine pyrophosphate-transporting ATPase activity; transmembrane transporter activity	NA
ECHS1	Fatty Acid Biosynthesis and Elongation	NA	enoyl-CoA hydratase activity	NA
HADH	Fatty Acid Biosynthesis and Elongation	NA	3-hydroxyacyl-CoA dehydrogenase activity; NAD+ binding	NA
HADHA	Fatty Acid Biosynthesis and Elongation	NA	3-hydroxyacyl-CoA dehydrogenase activity; coenzyme binding; enoyl-CoA hydratase activity; long-chain-3-hydroxyacyl-CoA dehydrogenase activity	NA
HADHB	Fatty Acid Biosynthesis and Elongation	NA	acetyl-CoA C-acyltransferase activity; long-chain-3-hydroxyacyl-CoA dehydrogenase activity	NA
MECR	Fatty Acid Biosynthesis and Elongation	NA	trans-2-enoyl-CoA reductase (NADPH) activity; zinc ion binding	NA
SLC27A3	Fatty Acid Degradation and Beta-oxidation	1	SLC27A3: Readily converts the transported very long chain fatty acids to acyl-CoAs	ENSG00000143554
FABP3	Fatty Acid Degradation and Beta-oxidation	1	FABP3: Fatty acid binding proteins are also involved in the import and export of fatty acids	ENSG00000121769
FABP1	Fatty Acid Degradation and Beta-oxidation	2	FABP1: Fatty acid binding proteins are also involved in the import and export of fatty acids	ENSG00000163586
ACADL	Fatty Acid Degradation and Beta-oxidation	2	ACADL: Long chain hydroxyacyl-CoA dehydrogenase	ENSG00000115361
ACAD11	Fatty Acid Degradation and Beta-oxidation	3	ACAD11: May be involved in the catabolism of long chain fatty acids	ENSG00000240303
FABP2	Fatty Acid Degradation and Beta-oxidation	4	FABP2: Fatty acid binding proteins are also involved in the import and export of fatty acids	ENSG00000145384
SLC27A6	Fatty Acid Degradation and Beta-oxidation	5	SLC27A6: Readily converts the transported very long chain fatty acids to acyl-CoAs	ENSG00000113396
FABP6	Fatty Acid Degradation and Beta-oxidation	5	FABP6: Fatty acid binding proteins are also involved in the import and export of fatty acids	ENSG00000170231
FABP7	Fatty Acid Degradation and Beta-oxidation	6	FABP7: Fatty acid binding proteins are also involved in the import and export of fatty acids	ENSG00000164434
CD36	Fatty Acid Degradation and Beta-oxidation	7	CD36: Fatty acid translocase	ENSG00000135218
FABP4	Fatty Acid Degradation and Beta-oxidation	8	FABP4: Fatty acid binding proteins are also involved in the import and export of fatty acids	ENSG00000170323
FABP5	Fatty Acid Degradation and Beta-oxidation	8	FABP5: Fatty acid binding proteins are also involved in the import and export of fatty acids	ENSG00000164687
FABP9	Fatty Acid Degradation and Beta-oxidation	8	FABP9: Fatty acid binding proteins are also involved in the import and export of fatty acids	ENSG00000205186
FABP12	Fatty Acid Degradation and Beta-oxidation	8	FABP12: Fatty acid binding proteins are also involved in the import and export of fatty acids	ENSG00000197416
DECR1	Fatty Acid Degradation and Beta-oxidation	8	DECR1: 2,4 dienoyl CoA reductase 1 catalyzes the metabolism of Polyunsaturated fatty acids	ENSG00000104325
SLC27A4	Fatty Acid Degradation and Beta-oxidation	9	SLC27A4: Readily converts the transported very long chain fatty acids to acyl-CoAs	ENSG00000167114
C10orf129	Fatty Acid Degradation and Beta-oxidation	10	C10orf129: ACSM6 Acyl-CoA synthetase activity for medium chain fatty acids	ENSG00000173124
GOT1	Fatty Acid Degradation and Beta-oxidation	10	GOT1: Plasma membrane fatty acid binding protein	ENSG00000120053
ACAD8	Fatty Acid Degradation and Beta-oxidation	11	ACAD8: Involved in the caatabolism of fatty acids and branched chain aminoacid valine	ENSG00000151498
ACSM4	Fatty Acid Degradation and Beta-oxidation	12	ACSM4: Acyl-CoA synthetase activity for medium chain fatty acids	ENSG00000215009
ACAD10	Fatty Acid Degradation and Beta-oxidation	12	ACAD10: Involved in the catabolism of fatty acids with significant activity towards branched chains	ENSG00000111271
SLC27A2	Fatty Acid Degradation and Beta-oxidation	15	SLC27A2: Readily converts the transported very long chain fatty acids to acyl-CoAs	ENSG00000140284
ACSBG1	Fatty Acid Degradation and Beta-oxidation	15	ACSBG1: Acyl-CoA synthetase activity for bubblegum family members	ENSG00000103740
ACSM1	Fatty Acid Degradation and Beta-oxidation	16	ACSM1: Acyl-CoA synthetase activity for medium chain fatty acids	ENSG00000166743
ACSM2B	Fatty Acid Degradation and Beta-oxidation	16	ACSM2B: Acyl-CoA synthetase activity for medium chain fatty acids	ENSG00000066813
ACSM3	Fatty Acid Degradation and Beta-oxidation	16	ACSM3: Acyl-CoA synthetase activity for medium chain fatty acids	ENSG00000005187
ACSM5	Fatty Acid Degradation and Beta-oxidation	16	ACSM5: Acyl-CoA synthetase activity for medium chain fatty acids	ENSG00000183549
SLC27A1	Fatty Acid Degradation and Beta-oxidation	19	SLC27A1: Readily converts the transported very long chain fatty acids to acyl-CoAs	ENSG00000130304
SLC27A5	Fatty Acid Degradation and Beta-oxidation	19	SLC27A5: Readily converts the transported very long chain fatty acids to acyl-CoAs	ENSG00000083807
ACSS2	Fatty Acid Degradation and Beta-oxidation	20	ACSS2: Acyl-CoA synthetase activity for short chain fatty acids	ENSG00000131069
ACAA2	Fatty Acid Degradation and Beta-oxidation	NA	acetyl-CoA C-acyltransferase activity	NA
ACAD9	Fatty Acid Degradation and Beta-oxidation	NA	flavin adenine dinucleotide binding; very-long-chain-acyl-CoA dehydrogenase activity	NA
ACADM	Fatty Acid Degradation and Beta-oxidation	NA	acyl-CoA dehydrogenase activity; flavin adenine dinucleotide binding	NA
ACADS	Fatty Acid Degradation and Beta-oxidation	NA	acyl-CoA dehydrogenase activity; flavin adenine dinucleotide binding; RNA polymerase II transcription cofactor activity; short-branched-chain-acyl-CoA dehydrogenase activity	NA
ACADSB	Fatty Acid Degradation and Beta-oxidation	NA	acyl-CoA dehydrogenase activity; flavin adenine dinucleotide binding; RNA polymerase II transcription cofactor activity; short-branched-chain-acyl-CoA dehydrogenase activity	NA
ACADVL	Fatty Acid Degradation and Beta-oxidation	NA	flavin adenine dinucleotide binding; very-long-chain-acyl-CoA dehydrogenase activity	NA
ACAT1	Fatty Acid Degradation and Beta-oxidation	NA	acetyl-CoA C-acyltransferase activity	NA
ACAT2	Fatty Acid Degradation and Beta-oxidation	NA	acetyl-CoA C-acyltransferase activity	NA
ACOX1	Fatty Acid Degradation and Beta-oxidation	NA	acyl-CoA dehydrogenase activity; acyl-CoA oxidase activity; flavin adenine dinucleotide binding	NA
ACOX3	Fatty Acid Degradation and Beta-oxidation	NA	acyl-CoA dehydrogenase activity; acyl-CoA oxidase activity; flavin adenine dinucleotide binding; pristanoyl-CoA oxidase activity	NA
ACSBG2	Fatty Acid Degradation and Beta-oxidation	NA	long-chain fatty acid-CoA ligase activity	NA
ACSL3	Fatty Acid Degradation and Beta-oxidation	NA	long-chain fatty acid-CoA ligase activity	NA
ACSL4	Fatty Acid Degradation and Beta-oxidation	NA	long-chain fatty acid-CoA ligase activity	NA
ALDH1B1	Fatty Acid Degradation and Beta-oxidation	NA	acetaldehyde dehydrogenase (acetylating) activity; aldehyde dehydrogenase (NAD) activity	NA
ALDH2	Fatty Acid Degradation and Beta-oxidation	NA	acetaldehyde dehydrogenase (acetylating) activity; aldehyde dehydrogenase (NAD) activity	NA
ALDH3A2	Fatty Acid Degradation and Beta-oxidation	NA	aldehyde dehydrogenase [NAD(P)+] activity; oxidoreductase activity; acting on the aldehyde or oxo group of donors; NAD or NADP as acceptor	NA
CPT1A	Fatty Acid Degradation and Beta-oxidation	NA	carnitine O-palmitoyltransferase activity	NA
CPT1B	Fatty Acid Degradation and Beta-oxidation	NA	carnitine O-palmitoyltransferase activity	NA
CPT1C	Fatty Acid Degradation and Beta-oxidation	NA	carnitine O-palmitoyltransferase activity	NA
CPT2	Fatty Acid Degradation and Beta-oxidation	NA	carnitine O-palmitoyltransferase activity	NA
ECH1	Fatty Acid Degradation and Beta-oxidation	NA	dodecenoyl-CoA delta-isomerase activity; delta5-delta2; 4-dienoyl-CoA isomerase activity	NA
ECHDC2	Fatty Acid Degradation and Beta-oxidation	NA	delta5-delta2; 4-dienoyl-CoA isomerase activity	NA
ECI1	Fatty Acid Degradation and Beta-oxidation	NA	dodecenoyl-CoA delta-isomerase activity	NA
GCDH	Fatty Acid Degradation and Beta-oxidation	NA	flavin adenine dinucleotide binding; glutaryl-CoA dehydrogenase activity	NA
ACOT9	Fatty Acid Metabolism	NA	acyl-CoA hydrolase activity	NA
ACSF2	Fatty Acid Metabolism	NA	catalytic activity; long-chain fatty acid transporter activity; fatty-acyl-CoA synthase activity; long-chain fatty acid-CoA ligase activity; luciferin monooxygenase activity	NA
ACSF3	Fatty Acid Metabolism	NA	long-chain fatty acid-CoA ligase activity	NA
ACSS3	Fatty Acid Metabolism	NA	acetate-CoA ligase activity	NA
AGK	Fatty Acid Metabolism	NA	diacylglycerol kinase activity; NAD+ kinase activity	NA
BDH1	Fatty Acid Metabolism	NA	oxidoreductase activity; acting on CH-OH group of donors	NA
C5orf63	Fatty Acid Metabolism	NA	transferase activity; transferring acyl groups other than amino-acyl groups	NA
CHAT	Fatty Acid Metabolism	NA	carnitine O-acetyltransferase activity	NA
CRAT	Fatty Acid Metabolism	NA	carnitine O-acetyltransferase activity	NA
LYPLA1	Fatty Acid Metabolism	NA	carboxylic ester hydrolase activity	NA
SLC25A20	Fatty Acid Metabolism	NA	acyl carnitine transmembrane transporter activity; carnitine transmembrane transporter activity; carnitine:acyl carnitine antiporter activity; transmembrane transporter activity	NA
BOLA3	Fe-S cluster biosynthesis	2	BOLA3: Rrole in the biogenesis of iron-sulfur clusters	ENSG00000163170
CIAO1	Fe-S cluster biosynthesis	2	CIAO1: Cytosolic Fe-S cluster biogenesis and maturation	ENSG00000144021
MMS19	Fe-S cluster biosynthesis	10	MMS19: Cytosolic Fe/S protein assembly targeting factor	ENSG00000155229
FAM96A	Fe-S cluster biosynthesis	15	FAM96A: Components of the cytosolic Fe/S protein assembly (CIA) machinery	ENSG00000166797
NUBP2	Fe-S cluster biosynthesis	16	NUBP2: Required for the assembly of cyotosolic iron-sulfur proteins	ENSG00000095906
NUBP1	Fe-S cluster biosynthesis	16	NUBP1: Essential for both cytosolic iron-sulfur protein assembly and iron homeostasis	ENSG00000103274
CIAPIN1	Fe-S cluster biosynthesis	16	CIAPIN1: Facilitates NUBP1 and NUBP2 assembly	ENSG00000005194
FAM96B	Fe-S cluster biosynthesis	16	FAM96B: Components of the cytosolic Fe/S protein assembly (CIA) machinery	ENSG00000166595
NARF	Fe-S cluster biosynthesis	17	NARF: Cytosolic Fe-S protein maturation	ENSG00000141562
FDX1	Fe-S cluster biosynthesis	NA	2 iron; 2 sulfur cluster binding; electron carrier activity	NA
FDX1L	Fe-S cluster biosynthesis	NA	2 iron; 2 sulfur cluster binding; electron carrier activity	NA
FDXR	Fe-S cluster biosynthesis	NA	electron carrier activity; ferredoxin-NADP+ reductase activity; NADPH-adrenodoxin reductase activity	NA
FXN	Fe-S cluster biosynthesis	NA	ferric iron binding; ferroxidase activity; iron chaperone activity	NA
HSCB	Fe-S cluster biosynthesis	NA	chaperone binding	NA
IBA57	Fe-S cluster biosynthesis	NA	aminomethyltransferase activity	NA
ISCA1	Fe-S cluster biosynthesis	NA	iron-sulfur cluster binding; structural molecule activity	NA
ISCA2	Fe-S cluster biosynthesis	NA	iron-sulfur cluster binding; structural molecule activity	NA
ISCU	Fe-S cluster biosynthesis	NA	iron ion binding; iron-sulfur cluster binding	NA
LYRM4	Fe-S cluster biosynthesis	NA		NA
NFS1	Fe-S cluster biosynthesis	NA	cystathionine gamma-lyase activity; cysteine desulfurase activity; pyridoxal phosphate binding	NA
NFU1	Fe-S cluster biosynthesis	NA	ATP binding; ATP-dependent helicase activity; iron ion binding; iron-sulfur cluster binding; nucleic acid binding	NA
SLC25A28	Fe-S cluster biosynthesis	NA	iron ion transmembrane transporter activity; transmembrane transporter activity	NA
SLC25A37	Fe-S cluster biosynthesis	NA	iron ion transmembrane transporter activity; transmembrane transporter activity	NA
ALDH1L1	Folate & Pterine Metabolism	NA	formyltetrahydrofolate dehydrogenase activity; hydroxymethyl-; formyl- and related transferase activity; methyltransferase activity; oxidoreductase activity; acting on the aldehyde or oxo group of donors; NAD or NADP as acceptor	NA
ALDH1L2	Folate & Pterine Metabolism	NA	formyltetrahydrofolate dehydrogenase activity; hydroxymethyl-; formyl- and related transferase activity; methyltransferase activity; oxidoreductase activity; acting on the aldehyde or oxo group of donors; NAD or NADP as acceptor	NA
DHFRL1	Folate & Pterine Metabolism	NA	dihydrofolate reductase activity; NADP binding; protein binding	NA
FPGS	Folate & Pterine Metabolism	NA	ATP binding; tetrahydrofolylpolyglutamate synthase activity	NA
MTHFD1	Folate & Pterine Metabolism	NA	ATP binding; formate-tetrahydrofolate ligase activity; methenyltetrahydrofolate cyclohydrolase activity; methylenetetrahydrofolate dehydrogenase (NADP+) activity	NA
MTHFD1L	Folate & Pterine Metabolism	NA	ATP binding; formate-tetrahydrofolate ligase activity; methenyltetrahydrofolate cyclohydrolase activity; methylenetetrahydrofolate dehydrogenase (NADP+) activity	NA
MTHFD2	Folate & Pterine Metabolism	NA	formate-tetrahydrofolate ligase activity; magnesium ion binding; methenyltetrahydrofolate cyclohydrolase activity; methylenetetrahydrofolate dehydrogenase (NAD+) activity; methylenetetrahydrofolate dehydrogenase (NADP+) activity	NA
MTHFD2L	Folate & Pterine Metabolism	NA	formate-tetrahydrofolate ligase activity; magnesium ion binding; methenyltetrahydrofolate cyclohydrolase activity; methylenetetrahydrofolate dehydrogenase (NAD+) activity; methylenetetrahydrofolate dehydrogenase (NADP+) activity	NA
MTHFS	Folate & Pterine Metabolism	NA	5-formyltetrahydrofolate cyclo-ligase activity; ATP binding	NA
SHMT1	Folate & Pterine Metabolism	NA	glycine hydroxymethyltransferase activity; pyridoxal phosphate binding	NA
SHMT2	Folate & Pterine Metabolism	NA	glycine hydroxymethyltransferase activity; pyridoxal phosphate binding	NA
SLC25A32	Folate & Pterine Metabolism	NA	folic acid transporter activity; transmembrane transporter activity	NA
AKR1B10	Fructose Metabolism	NA	alditol:NADP+ 1-oxidoreductase activity	NA
GLYCTK	Fructose Metabolism	NA	glycerate kinase activity	NA
SORD	Fructose Metabolism	NA	L-iditol 2-dehydrogenase activity; zinc ion binding	NA
SLC2A1	Glycolysis	1	SLC2A1: A major glucose transporter in the mammalian blood-brain barrier	ENSG00000117394
SLC2A5	Glycolysis	1	SLC2A5: Solute carrier family 2 (facilitated glucose/fructose transporter), member 5	ENSG00000142583
ENO1	Glycolysis	1	ENO1: Catalyzes the dehydration of 2-phosphoglycerate to phosphoenolpyruate	ENSG00000074800
PKLR	Glycolysis	1	PKLR: Catalyzes the transphosphorylation of phohsphoenolpyruvate into pyruvate and ATP	ENSG00000143627
SLC2A2	Glycolysis	3	SLC2A2: Mediates facilitated bidirectional glucose transport of the liver, islet beta cells, intestine, and kidney epithelium	ENSG00000163581
PGK2	Glycolysis	6	PGK2: Catalyzes the reversible conversion of 1,3-bisphosphoglycerate to 3-phosphoglycerate	ENSG00000170950
GCK	Glycolysis	7	GCK: Hexokinases phosphorylate glucose to produce glucose-6-phosphate	ENSG00000106633
PGAM2	Glycolysis	7	PGAM2: Catalyzes the reversible reaction of 3-phosphoglycerate to 2-phosphoglycerate	ENSG00000164708
ALDOB	Glycolysis	9	ALDOB: Catalyzes the reversible conversion of fructose-1,6-bisphosphate to glyceraldehyde 3-phosphate and dihydroxyacetone phosphate	ENSG00000136872
FBP1	Glycolysis	9	FBP1: Catalyzes the hydrolysis of fructose 1-6-bisphosphate to fructose 6-phosphate and inorganic phosphate and functioning in gluconeogenesis	ENSG00000165140
FBP2	Glycolysis	9	FBP2: Catalyzes the hydrolysis of fructose 1-6-bisphosphate to fructose 6-phosphate and inorganic phosphate and functioning in gluconeogenesis	ENSG00000130957
PFKP	Glycolysis	10	PFKP: Catalyzes the irreversible conversion of fructose-6-phosphate to fructose-1,6-bisphosphate	ENSG00000067057
PGAM1	Glycolysis	10	PGAM1: Catalyzes the reversible reaction of 3-phosphoglycerate to 2-phosphoglycerate	ENSG00000171314
LDHC	Glycolysis	11	LDHC: Catalyzes the interconversion of pyruvate to lactate and back	ENSG00000166796
LDHA	Glycolysis	11	LDHA: Catalyzes the interconversion of pyruvate to lactate and back	ENSG00000134333
SLC2A3	Glycolysis	12	SLC2A3: Solute carrier family 2 (facilitated glucose transporter), member 3	ENSG00000059804
PFKM	Glycolysis	12	PFKM: Catalyzes the phosphorylation of fructose-6-phosphate to fructose-1,6-bisphosphate	ENSG00000152556
TPI1	Glycolysis	12	TPI1: Catalyzes the isomerization of glyceraldehydes 3-phosphate and dihydroxy-acetone phosphate	ENSG00000111669
GAPDH	Glycolysis	12	GAPDH: Catalyzes the reversible oxidative phosphorylation of glyceraldehyde-3-phosphate and may also inhibit Caspase independent cell death in apoptosis	ENSG00000111640
ENO2	Glycolysis	12	ENO2: Catalyzes the dehydration of 2-phosphoglycerate to phosphoenolpyruate	ENSG00000111674
LDHB	Glycolysis	12	LDHB: Catalyzes the interconversion of pyruvate to lactate and back	ENSG00000111716
PKM2	Glycolysis	15	PKM2: Catalyzes the transphosphorylation of phohsphoenolpyruvate into pyruvate and ATP	ENSG00000067225
LDHAL6B	Glycolysis	15	LDHAL6B: Catalyzes the interconversion of pyruvate to lactate and back	ENSG00000171989
ALDOA	Glycolysis	16	ALDOA: Catalyzes the reversible conversion of fructose-1,6-bisphosphate to glyceraldehyde 3-phosphate and dihydroxyacetone phosphate	ENSG00000149925
SLC2A4	Glycolysis	17	SLC2A4: Insulin-regulated facilitative glucose transporter	ENSG00000181856
ENO3	Glycolysis	17	ENO3: Catalyzes the dehydration of 2-phosphoglycerate to phosphoenolpyruate	ENSG00000108515
G6PC	Glycolysis	17	G6PC: Glucose-6-phosphatase catalyzes the hydrolysis of D-glucose 6-phosphate to D-glucose and orthophosphate and functioning in gluconeogenesis and glycogenolysis	ENSG00000131482
