gene	process	chr	gene_function	ENSG
Fdh	Fatty Acid Degradation	NA	S-(hydroxymethyl)glutathione dehydrogenase activity ; GO:0051903	NA
CG16935	Fatty Acid Elongation	NA	trans-2-enoyl-CoA reductase (NADPH) activity ; GO:0019166	NA
Mtpalpha	Fatty Acid Elongation	NA	long-chain-3-hydroxyacyl-CoA dehydrogenase activity ; GO:0016509	NA
CG10131	Fatty Acid Elongation	NA	3-hydroxyacyl-CoA dehydrogenase activity ; GO:0003857	NA
Thiolase	Fatty Acid Elongation	NA	transferase activity, transferring acyl groups other than amino-acyl groups ; GO:0016747	NA
CG6543	Fatty Acid Elongation	NA	enoyl-CoA hydratase activity ; GO:0004300	NA
CG1635	Fatty Acid Metabolism	NA	acyl-CoA hydrolase activity ; GO:0047617	NA
CG1774	Fatty Acid Metabolism	NA	acyl-CoA hydrolase activity ; GO:0047617	NA
CG5265	Fatty Acid Metabolism	NA	carnitine O-acetyltransferase activity ; GO:0004092	NA
CG13771	Fatty Acid Metabolism	NA	-	NA
CG1638	Fatty Acid Metabolism	NA	-	NA
CG18815	Fatty Acid Metabolism	NA	carboxylic ester hydrolase activity ; GO:0052689	NA
CG11659	Fatty Acid Metabolism	NA	catalytic activity ; GO:0003824	NA
CG11407	Fatty Acid Metabolism	NA	catalytic activity ; GO:0003824	NA
Mulk	Fatty Acid Metabolism	NA	ceramide kinase activity ; GO:0001729	NA
CG6178	Fatty Acid Metabolism	NA	luciferin monooxygenase activity ; GO:0045289	NA
CG18155	Fatty Acid Metabolism	NA	catalytic activity ; GO:0003824	NA
pdgy	Fatty Acid Metabolism	NA	catalytic activity ; GO:0003824	NA
CG12512	Fatty Acid Metabolism	NA	catalytic activity ; GO:0003824	NA
CG8888	Fatty Acid Metabolism	NA	-	NA
CG7920	Fatty Acid Metabolism	NA	catalytic activity ; GO:0003824	NA
CG1041	Fatty Acid Metabolism	NA	carnitine O-acetyltransferase activity ; GO:0004092	NA
CG9147	Fatty Acid Metabolism	NA	catalytic activity ; GO:0003824	NA
CG6432	Fatty Acid Metabolism	NA	catalytic activity ; GO:0003824	NA
CG3476	Fatty Acid Metabolism	NA	carnitine:acyl carnitine antiporter activity ; GO:0005476	NA
colt	Fatty Acid Metabolism	NA	carnitine:acyl carnitine antiporter activity ; GO:0005476	NA
Hsc20	Fe-S cluster biosynthesis	NA	molecular_function ; GO:0003674	NA
dare	Fe-S cluster biosynthesis	NA	NADPH-adrenodoxin reductase activity ; GO:0015039	NA
Qtzl	Fe-S cluster biosynthesis	NA	-	NA
bcn92	Fe-S cluster biosynthesis	NA	molecular_function ; GO:0003674	NA
CG8043	Fe-S cluster biosynthesis	NA	poly(A) RNA binding ; GO:0044822	NA
CG12264	Fe-S cluster biosynthesis	NA	cystathionine gamma-lyase activity ; GO:0004123	NA
CG9836	Fe-S cluster biosynthesis	NA	iron-sulfur cluster binding ; GO:0051536	NA
CG13623	Fe-S cluster biosynthesis	NA	iron-sulfur cluster binding ; GO:0051536	NA
CG33502	Fe-S cluster biosynthesis	NA	molecular_function ; GO:0003674	NA
CG32857	Fe-S cluster biosynthesis	NA	iron-sulfur cluster binding ; GO:0051536	NA
CG32500	Fe-S cluster biosynthesis	NA	iron-sulfur cluster binding ; GO:0051536	NA
fh	Fe-S cluster biosynthesis	NA	iron chaperone activity ; GO:0034986	NA
mfrn	Fe-S cluster biosynthesis	NA	-	NA
Nmdmc	Folate & Pterine Metabolism	NA	methenyltetrahydrofolate cyclohydrolase activity ; GO:0004477	NA
CG3011	Folate & Pterine Metabolism	NA	glycine hydroxymethyltransferase activity ; GO:0004372	NA
CG2543	Folate & Pterine Metabolism	NA	tetrahydrofolylpolyglutamate synthase activity ; GO:0004326	NA
CG31773	Folate & Pterine Metabolism	NA	tetrahydrofolylpolyglutamate synthase activity ; GO:0004326	NA
pug	Folate & Pterine Metabolism	NA	methylenetetrahydrofolate dehydrogenase (NADP+) activity ; GO:0004488	NA
Dhfr	Folate & Pterine Metabolism	NA	dihydrofolate reductase activity ; GO:0004146	NA
CG8665	Folate & Pterine Metabolism	NA	formyltetrahydrofolate dehydrogenase activity ; GO:0016155	NA
CG34424	Folate & Pterine Metabolism	NA	5-formyltetrahydrofolate cyclo-ligase activity ; GO:0030272	NA
CG8026	Folate & Pterine Metabolism	NA	folic acid transporter activity ; GO:0008517	NA
CG9886	Fructose Metabolism	NA	glycerate kinase activity ; GO:0008887	NA
CG4836	Fructose Metabolism	NA	-	NA
CG6084	Fructose Metabolism	NA	oxidoreductase activity ; GO:0016491	NA
Hex-t2	Glycolysis	NA	ATP binding ; GO:0005524	NA
Hex-C	Glycolysis	NA	hexokinase activity ; GO:0004396	NA
Hex-A	Glycolysis	NA	hexokinase activity ; GO:0004396	NA
Hex-t1	Glycolysis	NA	ATP binding ; GO:0005524	NA
Ald	Glycolysis	NA	fructose-bisphosphate aldolase activity ; GO:0004332	NA
Pgm	Glycolysis	NA	phosphoglucomutase activity ; GO:0004614	NA
Pgk	Glycolysis	NA	phosphoglycerate kinase activity ; GO:0004618	NA
Gapdh1	Glycolysis	NA	glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity ; GO:0004365	NA
Gapdh2	Glycolysis	NA	glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity ; GO:0004365	NA
Eno	Glycolysis	NA	phosphopyruvate hydratase activity ; GO:0004634	NA
Pgi	Glycolysis	NA	glucose-6-phosphate isomerase activity ; GO:0004347	NA
Pfk	Glycolysis	NA	6-phosphofructokinase activity ; GO:0003872	NA
Pglym87	Glycolysis	NA	phosphoglycerate mutase activity ; GO:0004619	NA
Pp2A-29B	Glycolysis	NA	protein phosphatase regulator activity ; GO:0019888	NA
Tpi	Glycolysis	NA	triose-phosphate isomerase activity ; GO:0004807	NA
mts	Glycolysis	NA	protein serine/threonine phosphatase activity ; GO:0004722	NA
PP2A-B'	Glycolysis	NA	protein phosphatase regulator activity ; GO:0019888	NA
CG10202	Glycolysis	NA	intramolecular transferase activity, phosphotransferases ; GO:0016868	NA
Pmm45A	Glycolysis	NA	intramolecular transferase activity, phosphotransferases ; GO:0016868	NA
G6P	Glycolysis	NA	-	NA
CG6650	Glycolysis	NA	phosphotransferase activity, alcohol group as acceptor ; GO:0016773	NA
CG10467	Glycolysis	NA	isomerase activity ; GO:0016853	NA
CG10996	Glycolysis	NA	isomerase activity ; GO:0016853	NA
CG32444	Glycolysis	NA	isomerase activity ; GO:0016853	NA
CG9008	Glycolysis	NA	isomerase activity ; GO:0016853	NA
fbp	Glycolysis	NA	fructose 1,6-bisphosphate 1-phosphatase activity ; GO:0042132	NA
CG5432	Glycolysis	NA	fructose-bisphosphate aldolase activity ; GO:0004332	NA
CG9010	Glycolysis	NA	oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor ; GO:0016620	NA
CG9961	Glycolysis	NA	phosphoglycerate kinase activity ; GO:0004618	NA
Pglym78	Glycolysis	NA	phosphoglycerate mutase activity ; GO:0004619	NA
Mipp1	Glycolysis	NA	bisphosphoglycerate 3-phosphatase activity ; GO:0034417	NA
Mipp2	Glycolysis	NA	bisphosphoglycerate 3-phosphatase activity ; GO:0034417	NA
CG4538	Heme Biosynthesis	NA	serine-type endopeptidase activity ; GO:0004252	NA
Fer3HCH	Heme Biosynthesis	NA	ferric iron binding ; GO:0008199	NA
Fer2LCH	Heme Biosynthesis	NA	ferrous iron binding ; GO:0008198	NA
Fer1HCH	Heme Biosynthesis	NA	ferrous iron binding ; GO:0008198	NA
FeCH	Heme Biosynthesis	NA	ferrochelatase activity ; GO:0004325	NA
CG1319	Heme Biosynthesis	NA	electron carrier activity ; GO:0009055	NA
Alas	Heme Biosynthesis	NA	5-aminolevulinate synthase activity ; GO:0003870	NA
Coprox	Heme Biosynthesis	NA	coproporphyrinogen oxidase activity ; GO:0004109	NA
Ppox	Heme Biosynthesis	NA	oxygen-dependent protoporphyrinogen oxidase activity ; GO:0004729	NA
CG1885	Heme Biosynthesis	NA	uroporphyrinogen-III synthase activity ; GO:0004852	NA
CG10361	Heme Biosynthesis	NA	glycine C-acetyltransferase activity ; GO:0008890	NA
Hsc70-5	Import & Sorting	NA	unfolded protein binding ; GO:0051082	NA
Hsp60C	Import & Sorting	NA	ATP binding ; GO:0005524	NA
Hsp60D	Import & Sorting	NA	ATP binding ; GO:0005524	NA
Hsp60B	Import & Sorting	NA	unfolded protein binding ; GO:0051082	NA
CG11267	Import & Sorting	NA	-	NA
CG9920	Import & Sorting	NA	-	NA
CG12379	Import & Sorting	NA	zinc ion binding ; GO:0008270	NA
CG8206	Import & Sorting	NA	zinc ion binding ; GO:0008270	NA
CG12118	Import & Sorting	NA	-	NA
CG8728	Import & Sorting	NA	metalloendopeptidase activity ; GO:0004222	NA
CG7791	Import & Sorting	NA	metalloendopeptidase activity ; GO:0004222	NA
CG13630	Import & Sorting	NA	aminopeptidase activity ; GO:0004177	NA
CG9281	Import & Sorting	NA	ATPase activity ; GO:0016887	NA
CG7950	Import & Sorting	NA	molecular_function ; GO:0003674	NA
CG4186	Import & Sorting	NA	-	NA
CG32727	Import & Sorting	NA	molecular_function ; GO:0003674	NA
CG14270	Import & Sorting	NA	-	NA
Atg9	Import & Sorting	NA	molecular_function ; GO:0003674	NA
CG34317	Import & Sorting	NA	ribonuclease activity ; GO:0004540	NA
CG7382	Import & Sorting	NA	-	NA
spag	Import & Sorting	NA	Hsp70 protein binding ; GO:0030544	NA
CG33331	Import & Sorting	NA	phosphatidate cytidylyltransferase activity ; GO:0004605	NA
CG9240	Import & Sorting	NA	serine-type peptidase activity ; GO:0008236	NA
CG11110	Import & Sorting	NA	serine-type peptidase activity ; GO:0008236	NA
CG5662	Import & Sorting	NA	-	NA
CG8004	Import & Sorting	NA	-	NA
CG9393	Import & Sorting	NA	-	NA
Tim17b	Import & Sorting	NA	P-P-bond-hydrolysis-driven protein transmembrane transporter activity ; GO:0015450	NA
CG1409	Import & Sorting	NA	-	NA
CG4520	Import & Sorting	NA	-	NA
CG40042	Import & Sorting	NA	molecular_function ; GO:0003674	NA
CG34132	Import & Sorting	NA	protein transporter activity ; GO:0008565	NA
CG7394	Import & Sorting	NA	ATPase activator activity ; GO:0001671	NA
CG42302	Import & Sorting	NA	molecular_function ; GO:0003674	NA
Roe1	Import & Sorting	NA	unfolded protein binding ; GO:0051082	NA
CG1847	Import & Sorting	NA	-	NA
Hmt-1	Import & Sorting	NA	ATPase activity, coupled to transmembrane movement of substances ; GO:0042626	NA
ABCB7	Import & Sorting	NA	ATPase activity, coupled to transmembrane movement of substances ; GO:0042626	NA
CG3156	Import & Sorting	NA	ATPase activity, coupled to transmembrane movement of substances ; GO:0042626	NA
CG1824	Import & Sorting	NA	ATPase activity, coupled to transmembrane movement of substances ; GO:0042626	NA
Porin2	Import & Sorting	NA	cation channel activity ; GO:0005261	NA
CG6812	Import & Sorting	NA	ion transmembrane transporter activity ; GO:0015075	NA
CG11739	Import & Sorting	NA	ion transmembrane transporter activity ; GO:0015075	NA
CG17139	Import & Sorting	NA	channel activity ; GO:0015267	NA
CG17140	Import & Sorting	NA	channel activity ; GO:0015267	NA
ttm50	Import & Sorting	NA	protein serine/threonine phosphatase activity ; GO:0004722	NA
ttm3	Import & Sorting	NA	protein serine/threonine phosphatase activity ; GO:0004722	NA
ttm2	Import & Sorting	NA	protein serine/threonine phosphatase activity ; GO:0004722	NA
blp	Import & Sorting	NA	molecular_function ; GO:0003674	NA
Tim8	Import & Sorting	NA	P-P-bond-hydrolysis-driven protein transmembrane transporter activity ; GO:0015450	NA
Tim9a	Import & Sorting	NA	P-P-bond-hydrolysis-driven protein transmembrane transporter activity ; GO:0015450	NA
CG1724	Import & Sorting	NA	P-P-bond-hydrolysis-driven protein transmembrane transporter activity ; GO:0015450	NA
Tom70	Import & Sorting	NA	P-P-bond-hydrolysis-driven protein transmembrane transporter activity ; GO:0015450	NA
tomboy40	Import & Sorting	NA	P-P-bond-hydrolysis-driven protein transmembrane transporter activity ; GO:0015450	NA
Tom7	Import & Sorting	NA	P-P-bond-hydrolysis-driven protein transmembrane transporter activity ; GO:0015450	NA
Tim10	Import & Sorting	NA	P-P-bond-hydrolysis-driven protein transmembrane transporter activity ; GO:0015450	NA
mge	Import & Sorting	NA	P-P-bond-hydrolysis-driven protein transmembrane transporter activity ; GO:0015450	NA
Tim13	Import & Sorting	NA	P-P-bond-hydrolysis-driven protein transmembrane transporter activity ; GO:0015450	NA
Tom20	Import & Sorting	NA	P-P-bond-hydrolysis-driven protein transmembrane transporter activity ; GO:0015450	NA
Tim17a2	Import & Sorting	NA	P-P-bond-hydrolysis-driven protein transmembrane transporter activity ; GO:0015450	NA
Tim17b1	Import & Sorting	NA	P-P-bond-hydrolysis-driven protein transmembrane transporter activity ; GO:0015450	NA
tomboy20	Import & Sorting	NA	P-P-bond-hydrolysis-driven protein transmembrane transporter activity ; GO:0015450	NA
CG11779	Import & Sorting	NA	P-P-bond-hydrolysis-driven protein transmembrane transporter activity ; GO:0015450	NA
Tim17b2	Import & Sorting	NA	P-P-bond-hydrolysis-driven protein transmembrane transporter activity ; GO:0015450	NA
Tom40	Import & Sorting	NA	P-P-bond-hydrolysis-driven protein transmembrane transporter activity ; GO:0015450	NA
CG31229	Import & Sorting	NA	P-P-bond-hydrolysis-driven protein transmembrane transporter activity ; GO:0015450	NA
Tim9b	Import & Sorting	NA	P-P-bond-hydrolysis-driven protein transmembrane transporter activity ; GO:0015450	NA
Tim17a1	Import & Sorting	NA	P-P-bond-hydrolysis-driven protein transmembrane transporter activity ; GO:0015450	NA
140up	Import & Sorting	NA	molecular_function ; GO:0003674	NA
CG7639	Import & Sorting	NA	molecular_function ; GO:0003674	NA
CG31008	Import & Sorting	NA	sequence-specific DNA binding ; GO:0043565	NA
CG5010	Import & Sorting	NA	-	NA
CG31007	Import & Sorting	NA	molecular_function ; GO:0003674	NA
CG44242	Lipoic Acid Metabolism	NA	molecular_function ; GO:0003674	NA
CG44243	Lipoic Acid Metabolism	NA	lipoyltransferase activity ; GO:0017118	NA
Las	Lipoic Acid Metabolism	NA	lipoate synthase activity ; GO:0016992	NA
CG9804	Lipoic Acid Metabolism	NA	octanoyltransferase activity ; GO:0016415	NA
CG5991	Metabolism of Lipids & Lipoproteins	NA	phosphatidylserine decarboxylase activity ; GO:0004609	NA
CG13601	Metabolism of Lipids & Lipoproteins	NA	molecular_function ; GO:0003674	NA
sad	Metabolism of Lipids & Lipoproteins	NA	ecdysteroid 2-hydroxylase activity ; GO:0042768	NA
mino	Metabolism of Lipids & Lipoproteins	NA	glycerol-3-phosphate O-acyltransferase activity ; GO:0004366	NA
CG2767	Metabolism of Lipids & Lipoproteins	NA	oxidoreductase activity ; GO:0016491	NA
CG6385	Metabolism of Lipids & Lipoproteins	NA	oxidoreductase activity ; GO:0016491	NA
CG7724	Metabolism of Lipids & Lipoproteins	NA	3-beta-hydroxy-delta5-steroid dehydrogenase activity ; GO:0003854	NA
CG43998	Metabolism of Lipids & Lipoproteins	NA	molecular_function ; GO:0003674	NA
CG9449	Metabolism of Lipids & Lipoproteins	NA	acid phosphatase activity ; GO:0003993	NA
CG9451	Metabolism of Lipids & Lipoproteins	NA	acid phosphatase activity ; GO:0003993	NA
CG6656	Metabolism of Lipids & Lipoproteins	NA	acid phosphatase activity ; GO:0003993	NA
CG2316	Metabolism of Lipids & Lipoproteins	NA	ATPase activity, coupled to transmembrane movement of substances ; GO:0042626	NA
Fpps	Metabolism of Lipids & Lipoproteins	NA	geranyltranstransferase activity ; GO:0004337	NA
CG10195	Metabolism of Lipids & Lipoproteins	NA	hydrolase activity ; GO:0016787	NA
CG10194	Metabolism of Lipids & Lipoproteins	NA	hydrolase activity ; GO:0016787	NA
CG18094	Metabolism of Lipids & Lipoproteins	NA	hydrolase activity ; GO:0016787	NA
slmo	Metabolism of Lipids & Lipoproteins	NA	molecular_function ; GO:0003674	NA
CdsA	Metabolism of Lipids & Lipoproteins	NA	phosphatidate cytidylyltransferase activity ; GO:0004605	NA
shd	Metabolism of Vitamins & Co-Factors	NA	ecdysone 20-monooxygenase activity ; GO:0004501	NA
dib	Metabolism of Vitamins & Co-Factors	NA	electron carrier activity ; GO:0009055	NA
CG10424	Metabolism of Vitamins & Co-Factors	NA	ADP-dependent NAD(P)H-hydrate dehydratase activity ; GO:0052855	NA
Ppat-Dpck	Metabolism of Vitamins & Co-Factors	NA	dephospho-CoA kinase activity ; GO:0004140	NA
fbl	Metabolism of Vitamins & Co-Factors	NA	pantothenate kinase activity ; GO:0004594	NA
CG3566	Metabolism of Vitamins & Co-Factors	NA	-	NA
CG5157	Metabolism of Vitamins & Co-Factors	NA	heme binding ; GO:0020037	NA
Cyp12b2	Metabolism of Vitamins & Co-Factors	NA	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen ; GO:0016705	NA
Cyp12c1	Metabolism of Vitamins & Co-Factors	NA	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen ; GO:0016705	NA
Cyp12e1	Metabolism of Vitamins & Co-Factors	NA	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen ; GO:0016705	NA
Cyp12a5	Metabolism of Vitamins & Co-Factors	NA	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen ; GO:0016705	NA
Cyp12a4	Metabolism of Vitamins & Co-Factors	NA	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen ; GO:0016705	NA
CG42556	Metabolism of Vitamins & Co-Factors	NA	molecular_function ; GO:0003674	NA
CG3603	Metabolism of Vitamins & Co-Factors	NA	oxidoreductase activity ; GO:0016491	NA
CG10672	Metabolism of Vitamins & Co-Factors	NA	oxidoreductase activity ; GO:0016491	NA
CG12171	Metabolism of Vitamins & Co-Factors	NA	oxidoreductase activity ; GO:0016491	NA
CG2846	Metabolism of Vitamins & Co-Factors	NA	riboflavin kinase activity ; GO:0008531	NA
CG9090	Mitochondrial Carrier	NA	phosphate ion transmembrane transporter activity ; GO:0015114	NA
CG16736	Mitochondrial Carrier	NA	-	NA
Mal-A1	Mitochondrial Carrier	NA	catalytic activity ; GO:0003824	NA
Mal-A7	Mitochondrial Carrier	NA	catalytic activity ; GO:0003824	NA
Mal-A8	Mitochondrial Carrier	NA	catalytic activity ; GO:0003824	NA
CG32103	Mitochondrial Carrier	NA	calcium ion binding ; GO:0005509	NA
Mal-A5	Mitochondrial Carrier	NA	catalytic activity ; GO:0003824	NA
Mal-A6	Mitochondrial Carrier	NA	catalytic activity ; GO:0003824	NA
Orct2	Mitochondrial Carrier	NA	organic cation transmembrane transporter activity ; GO:0015101	NA
CG6893	Mitochondrial Carrier	NA	-	NA
CG1311	Mitochondrial Carrier	NA	molecular_function ; GO:0003674	NA
Orct	Mitochondrial Carrier	NA	organic cation transmembrane transporter activity ; GO:0015101	NA
CG7514	Mitochondrial Carrier	NA	oxoglutarate:malate antiporter activity ; GO:0015367	NA
CG18418	Mitochondrial Carrier	NA	oxoglutarate:malate antiporter activity ; GO:0015367	NA
Dic2	Mitochondrial Carrier	NA	-	NA
CG1907	Mitochondrial Carrier	NA	oxoglutarate:malate antiporter activity ; GO:0015367	NA
CG12201	Mitochondrial Carrier	NA	high-affinity glutamate transmembrane transporter activity ; GO:0005314	NA
CG1628	Mitochondrial Carrier	NA	L-ornithine transmembrane transporter activity ; GO:0000064	NA
Dic1	Mitochondrial Carrier	NA	malate transmembrane transporter activity ; GO:0015140	NA
Dic3	Mitochondrial Carrier	NA	inorganic phosphate transmembrane transporter activity ; GO:0005315	NA
Dic4	Mitochondrial Carrier	NA	dicarboxylic acid transmembrane transporter activity ; GO:0005310	NA
dmGlut	Mitochondrial Carrier	NA	high-affinity glutamate transmembrane transporter activity ; GO:0005314	NA
Ucp4C	Mitochondrial Carrier	NA	oxidative phosphorylation uncoupler activity ; GO:0017077	NA
Ucp4B	Mitochondrial Carrier	NA	oxidative phosphorylation uncoupler activity ; GO:0017077	NA
Mpcp	Mitochondrial Carrier	NA	phosphate ion transmembrane transporter activity ; GO:0015114	NA
CG18317	Mitochondrial Carrier	NA	-	NA
CG4995	Mitochondrial Carrier	NA	-	NA
CG8323	Mitochondrial Carrier	NA	-	NA
CG18327	Mitochondrial Carrier	NA	-	NA
CG18324	Mitochondrial Carrier	NA	-	NA
Bmcp	Mitochondrial Carrier	NA	transmembrane transporter activity ; GO:0022857	NA
CG2616	Mitochondrial Carrier	NA	-	NA
CG18347	Mitochondrial Carrier	NA	high-affinity glutamate transmembrane transporter activity ; GO:0005314	NA
att-ORFA	Mitochondrial Carrier	NA	-	NA
CG5805	Mitochondrial Carrier	NA	-	NA
CG4743	Mitochondrial Carrier	NA	S-adenosyl-L-methionine transmembrane transporter activity ; GO:0000095	NA
CG5646	Mitochondrial Carrier	NA	transmembrane transporter activity ; GO:0022857	NA
CG7943	Mitochondrial Carrier	NA	-	NA
Tyler	Mitochondrial Carrier	NA	-	NA
Shawn	Mitochondrial Carrier	NA	transmembrane transporter activity ; GO:0022857	NA
sea	Mitochondrial Carrier	NA	-	NA
CG9582	Mitochondrial Carrier	NA	-	NA
Tpc2	Mitochondrial Carrier	NA	thiamine pyrophosphate-transporting ATPase activity ; GO:0015619	NA
CG5254	Mitochondrial Carrier	NA	-	NA
Ucp4A	Mitochondrial Carrier	NA	oxidative phosphorylation uncoupler activity ; GO:0017077	NA
CG3016	Mitochondrial Dynamics	NA	thiol-dependent ubiquitin-specific protease activity ; GO:0004843	NA
CG14043	Mitochondrial Dynamics	NA	molecular_function ; GO:0003674	NA
CG16781	Mitochondrial Dynamics	NA	zinc ion binding ; GO:0008270	NA
CG10761	Mitochondrial Dynamics	NA	ubiquitin-protein transferase activity ; GO:0004842	NA
CG9855	Mitochondrial Dynamics	NA	zinc ion binding ; GO:0008270	NA
CG17991	Mitochondrial Dynamics	NA	zinc ion binding ; GO:0008270	NA
CG13295	Mitochondrial Dynamics	NA	-	NA
CG6333	Mitochondrial Dynamics	NA	molecular_function ; GO:0003674	NA
CG2854	Mitochondrial Dynamics	NA	-	NA
shi	Mitochondrial Dynamics	NA	GTPase activity ; GO:0003924	NA
CG9101	Mitochondrial Dynamics	NA	molecular_function ; GO:0003674	NA
Tango11	Mitochondrial Dynamics	NA	molecular_function ; GO:0003674	NA
Pgam5-2	Mitochondrial Dynamics	NA	phosphoprotein phosphatase activity ; GO:0004721	NA
CG8531	Mitochondrial Dynamics	NA	ATPase activator activity ; GO:0001671	NA
CG8931	Mitochondrial Dynamics	NA	molecular_function ; GO:0003674	NA
CG5755	Mitochondrial Dynamics	NA	molecular_function ; GO:0003674	NA
Pink1	Mitochondrial Dynamics	NA	protein binding ; GO:0005515	NA
sesB	Mitochondrial Dynamics	NA	ATP:ADP antiporter activity ; GO:0005471	NA
Ant2	Mitochondrial Dynamics	NA	ATP:ADP antiporter activity ; GO:0005471	NA
CG12511	Mitochondrial Dynamics	NA	-	NA
CG5676	Mitochondrial Dynamics	NA	-	NA
Fis1	Mitochondrial Dynamics	NA	-	NA
CG7772	Mitochondrial Dynamics	NA	molecular_function ; GO:0003674	NA
CG4623	Mitochondrial Dynamics	NA	-	NA
CG7603	Mitochondrial Dynamics	NA	-	NA
CG5903	Mitochondrial Dynamics	NA	-	NA
CG3499	Mitochondrial Dynamics	NA	metalloendopeptidase activity ; GO:0004222	NA
CG2658	Mitochondrial Dynamics	NA	ATPase activity ; GO:0016887	NA
CG6512	Mitochondrial Dynamics	NA	metalloendopeptidase activity ; GO:0004222	NA
Marf	Mitochondrial Dynamics	NA	GTPase activity ; GO:0003924	NA
fzo	Mitochondrial Dynamics	NA	GTPase activity ; GO:0003924	NA
milt	Mitochondrial Dynamics	NA	myosin binding ; GO:0017022	NA
mst	Mitochondrial Dynamics	NA	molecular_function ; GO:0003674	NA
CG13564	Mitochondrial Dynamics	NA	molecular_function ; GO:0003674	NA
CG6455	Mitochondrial Dynamics	NA	molecular_function ; GO:0003674	NA
CG12479	Mitochondrial Dynamics	NA	molecular_function ; GO:0003674	NA
CG41128	Mitochondrial Dynamics	NA	molecular_function ; GO:0003674	NA
Pmi	Mitochondrial Dynamics	NA	molecular_function ; GO:0003674	NA
Pgam5	Mitochondrial Dynamics	NA	protein binding ; GO:0005515	NA
pkaap	Mitochondrial Signaling	NA	-	NA
CG2974	Mitochondrial Signaling	NA	molecular_function ; GO:0003674	NA
Miro	Mitochondrial Signaling	NA	GTPase activity ; GO:0003924	NA
Shc	Mitochondrial Signaling	NA	-	NA
Src64B	Mitochondrial Signaling	NA	protein tyrosine kinase activity ; GO:0004713	NA
Tor	Mitochondrial Signaling	NA	protein kinase activity ; GO:0004672	NA
Ide	Mitochondrial Signaling	NA	metalloendopeptidase activity ; GO:0004222	NA
CG18812	Mitochondrial Signaling	NA	molecular_function ; GO:0003674	NA
Sirt4	Mitochondrial Signaling	NA	NAD+ binding ; GO:0070403	NA
spoon	Mitochondrial Signaling	NA	RNA binding ; GO:0003723	NA
r	Nitrogen Metabolism	NA	dihydroorotase activity ; GO:0004151	NA
CAH2	Nitrogen Metabolism	NA	carbonate dehydratase activity ; GO:0004089	NA
CG1764	Nitrogen Metabolism	NA	-	NA
arg	Nitrogen Metabolism	NA	arginase activity ; GO:0004053	NA
CG9235	Nitrogen Metabolism	NA	-	NA
CAH1	Nitrogen Metabolism	NA	carbonate dehydratase activity ; GO:0004089	NA
caix	Nitrogen Metabolism	NA	carbonate dehydratase activity ; GO:0004089	NA
CG5379	Nitrogen Metabolism	NA	carbonate dehydratase activity ; GO:0004089	NA
CG3940	Nitrogen Metabolism	NA	carbonate dehydratase activity ; GO:0004089	NA
CG3669	Nitrogen Metabolism	NA	carbonate dehydratase activity ; GO:0004089	NA
CG18673	Nitrogen Metabolism	NA	carbonate dehydratase activity ; GO:0004089	NA
CG18672	Nitrogen Metabolism	NA	carbonate dehydratase activity ; GO:0004089	NA
CG12309	Nitrogen Metabolism	NA	-	NA
CG11284	Nitrogen Metabolism	NA	-	NA
CG10899	Nitrogen Metabolism	NA	carbonate dehydratase activity ; GO:0004089	NA
Gdh	Nitrogen Metabolism	NA	glutamate dehydrogenase [NAD(P)+] activity ; GO:0004353	NA
CG9674	Nitrogen Metabolism	NA	iron-sulfur cluster binding ; GO:0051536	NA
Gs2	Nitrogen Metabolism	NA	glutamate-ammonia ligase activity ; GO:0004356	NA
CG5757	Nucleotide Metabolism	NA	ATP binding ; GO:0005524	NA
Adk3	Nucleotide Metabolism	NA	nucleoside triphosphate adenylate kinase activity ; GO:0046899	NA
Dhod	Nucleotide Metabolism	NA	dihydroorotate dehydrogenase activity ; GO:0004152	NA
nmdyn-D6	Nucleotide Metabolism	NA	nucleoside diphosphate kinase activity ; GO:0004550	NA
CG45071	Nucleotide Metabolism	NA	DNA binding ; GO:0003677	NA
CG1665	Nucleotide Metabolism	NA	molybdenum ion binding ; GO:0030151	NA
dUTPase	Nucleotide Metabolism	NA	dUTP diphosphatase activity ; GO:0004170	NA
CG4098	Nucleotide Metabolism	NA	hydrolase activity ; GO:0016787	NA
CG11089	Nucleotide Metabolism	NA	IMP cyclohydrolase activity ; GO:0003937	NA
AdSL	Nucleotide Metabolism	NA	N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity ; GO:0004018	NA
Ts	Nucleotide Metabolism	NA	thymidylate synthase activity ; GO:0004799	NA
Dip-C	Protein Stability & Degradation	NA	dipeptidyl-peptidase activity ; GO:0008239	NA
CG9581	Protein Stability & Degradation	NA	aminopeptidase activity ; GO:0004177	NA
CG3107	Protein Stability & Degradation	NA	metalloendopeptidase activity ; GO:0004222	NA
